vendor_id,pickup_dayofweek,pickup_hour,dropoff_dayofweek,dropoff_hour,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,trip_duration,dist_meters,wait_sec,speed
Quito,2,10,2,11,-78.50265937,-0.1836866043,-78.50034211,-0.2013672667,1385,4532,627,21.52401055
Quito,2,11,2,11,-78.4677726,-0.1483490224,-78.49479412,-0.171367529,1372,4830,601,22.55252918
Quito,2,11,2,11,-78.50486548,-0.1803994983,-78.50745568,-0.1852374,720,5386,151,34.07662566
Quito,6,6,6,7,-78.52042294,-0.1250137773,-78.4926116,-0.1409384626,766,5705,69,29.46628407
Quito,2,11,2,11,-78.49527227,-0.2131357764,-78.48413818,-0.1939177351,1538,4501,895,25.2
Quito,2,11,2,11,-78.50486548,-0.1803994983,-78.50745568,-0.1852374,720,5386,151,34.07662566
Quito,2,11,2,12,-78.50478192,-0.1805591886,-78.4912531,-0.1894916359,1014,3406,519,24.77090909
Quito,2,11,2,12,-78.50481692,-0.1765229538,-78.48502024,-0.21295847,1569,7289,531,25.27976879
Quito,2,11,2,12,-78.48426809,-0.1934488908,-78.51320531,-0.2656182441,1853,12273,444,31.35755855
Quito,2,11,2,12,-78.48037546,-0.1887324382,-78.50052342,-0.212447032,2423,3714,1821,22.20996678
Quito,2,12,2,12,-78.46312868,-0.1369068949,-78.47675628,-0.140204888,477,2096,167,24.34064516
Quito,2,12,2,1,-78.48925373,-0.1558168285,-78.49879533,-0.1244768349,909,4550,356,29.62025316
Quito,2,1,2,1,-78.48916556,-0.1926258095,-78.47876149,-0.1863399803,1572,4761,920,26.28773006
Quito,2,1,2,1,-78.52706678,-0.2390116401,-78.50725065,-0.2430047771,1620,5568,757,23.22688297
Quito,2,1,2,1,-78.50484394,-0.176790418,-78.4952609,-0.206444466,967,6304,230,30.79294437
Quito,2,11,2,12,-78.50478192,-0.1805591886,-78.4912531,-0.1894916359,1014,3406,519,24.77090909
Quito,2,2,2,2,-78.50491774,-0.1806033875,-78.50497523,-0.1340961668,836,6742,94,32.71051213
Quito,2,2,2,2,-78.47687755,-0.2031235283,-78.48412481,-0.2063336299,1305,2936,168,9.296042216
Quito,2,12,2,2,-78.43184955,-0.1386056587,-78.41741184,-0.1365538768,7330,59823,2513,44.70890596
Quito,2,3,2,3,-78.50570285,-0.1809268894,-78.48322882,-0.13108408,1243,9652,397,41.07234043
Quito,2,3,2,3,-78.465808,-0.1529107,-78.46172032,-0.15148512,72,496,15,31.32631579
Quito,2,3,2,3,-78.48099335,-0.1766568739,-78.46878914,-0.1651618574,870,2998,563,35.15570033
Quito,2,3,2,4,-78.46327601,-0.1313793343,-78.47552408,-0.08811949703,715,6230,169,41.07692308
Quito,2,3,2,4,-78.50502374,-0.1770960797,-78.48796462,-0.1091142683,1534,14743,275,42.15631454
Quito,2,4,2,4,-78.49781264,-0.2420156951,-78.49751272,-0.26205376,496,2716,195,32.48372093
Quito,2,4,2,4,-78.5042839,-0.1761652155,-78.48705682,-0.162930484,1045,5359,483,34.32811388
Quito,6,6,6,6,-78.43703457,-0.1978657465,-78.44744305,-0.18846863,338,3317,118,54.27818182
Quito,2,4,2,4,-78.43167693,-0.1890321401,-78.43648089,-0.196296652,549,3637,59,26.72081633
